City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,San Angelo,US,2022-04-06 01:42:59,31.4638,-100.437,88.02,9,0,13.8
200,Saint-Philippe,RE,2022-04-06 01:42:23,-21.3585,55.7679,76.59,89,100,10.25
201,Merauke,ID,2022-04-06 01:44:34,-8.4667,140.3333,85.1,67,9,4.72
202,Santa Marta,CO,2022-04-06 01:39:54,11.2408,-74.199,84.88,67,40,9.22
203,Sharan,RU,2022-04-06 01:44:35,54.8167,54.0,20.93,94,24,5.44
204,Kodiak,US,2022-04-06 01:44:35,57.79,-152.4072,36.91,75,100,10.36
205,Pop,UZ,2022-04-06 01:44:35,40.8736,71.1089,59.49,34,25,3.58
206,Westport,US,2022-04-06 01:44:36,41.1415,-73.3579,50.34,74,100,4.61
207,Longyearbyen,SJ,2022-04-06 01:40:18,78.2186,15.6401,10.24,61,0,16.11
208,Daru,PG,2022-04-06 01:44:36,-9.0763,143.2092,85.87,63,14,4.76
209,Bodden Town,KY,2022-04-06 01:44:37,19.2833,-81.25,82.0,76,20,5.99
210,Cockburn Town,TC,2022-04-06 01:41:11,21.4612,-71.1419,78.39,77,0,18.32
211,Lebu,CL,2022-04-06 01:44:37,-37.6167,-73.65,54.25,94,100,8.1
212,La Ronge,CA,2022-04-06 01:44:37,55.1001,-105.2842,43.05,52,20,10.36
213,Malanje,AO,2022-04-06 01:44:38,-9.5402,16.341,63.73,97,100,0.87
214,Skjervoy,NO,2022-04-06 01:44:38,70.0311,20.9714,32.0,69,100,20.8
215,Pangkalanbuun,ID,2022-04-06 01:44:38,-2.6833,111.6167,81.25,85,94,2.77
216,Vangaindrano,MG,2022-04-06 01:44:39,-23.35,47.6,74.7,89,58,2.37
217,Iranshahr,IR,2022-04-06 01:44:39,27.2025,60.6848,73.78,23,0,1.5
218,Sao Joao Da Barra,BR,2022-04-06 01:44:39,-21.6403,-41.0511,75.54,93,55,7.54
219,Hope,US,2022-04-06 01:39:43,33.6671,-93.5916,80.65,92,0,8.75
220,Orangeburg,US,2022-04-06 01:44:03,33.4918,-80.8557,64.24,90,0,9.22
221,Waipawa,NZ,2022-04-06 01:44:40,-41.4122,175.5153,65.3,74,100,17.18
222,Kegums,LV,2022-04-06 01:44:40,56.7451,24.7244,28.35,84,100,11.21
223,Crema,IT,2022-04-06 01:44:40,45.3588,9.6683,51.67,81,1,3.0
224,Ganzhou,CN,2022-04-06 01:44:41,28.8184,115.4327,69.57,58,73,2.86
225,Chenghai,CN,2022-04-06 01:44:41,23.4632,116.768,67.91,73,4,2.24
226,Aksu,CN,2022-04-06 01:44:41,41.1231,80.2644,61.25,22,0,3.98
227,Dalby,AU,2022-04-06 01:44:42,-27.1833,151.2667,82.98,47,0,4.0
228,Nome,US,2022-04-06 01:44:42,64.5011,-165.4064,10.47,61,0,6.91
229,Turbat,PK,2022-04-06 01:44:42,26.0023,63.044,78.08,31,3,1.21
230,Puerto Narino,CO,2022-04-06 01:44:43,-3.7703,-70.3831,73.51,97,100,1.28
231,Muzhi,RU,2022-04-06 01:45:43,65.3667,64.6667,16.72,77,100,29.15
232,Palmer,US,2022-04-06 01:45:43,42.1584,-72.3287,48.81,46,100,4.68
233,Ipojuca,BR,2022-04-06 01:45:44,-8.3989,-35.0639,82.31,86,95,3.02
234,Saint George,US,2022-04-06 01:45:36,37.1041,-113.5841,79.39,12,0,21.85
235,Delano,US,2022-04-06 01:45:44,35.7688,-119.247,75.78,40,0,10.36
236,Marovoay,MG,2022-04-06 01:45:44,-16.1,46.6333,73.17,93,39,2.26
237,Amapa,BR,2022-04-06 01:45:45,1.0,-52.0,71.64,100,100,2.55
238,Krasnyy Chikoy,RU,2022-04-06 01:45:45,50.3643,108.7512,35.98,81,99,4.72
239,Bahia Honda,CU,2022-04-06 01:45:45,22.9036,-83.1592,77.9,84,15,7.25
240,Acapulco,MX,2022-04-06 01:45:28,16.8634,-99.8901,76.05,75,9,9.91
241,Salalah,OM,2022-04-06 01:45:46,17.0151,54.0924,75.29,83,20,3.44
242,Muisne,EC,2022-04-06 01:45:46,0.6,-80.0333,77.67,87,94,5.26
243,Batemans Bay,AU,2022-04-06 01:45:46,-35.7167,150.1833,67.1,74,100,8.28
244,Hami,CN,2022-04-06 01:45:47,42.8,93.45,65.08,16,0,9.64
245,Colares,PT,2022-04-06 01:45:47,38.7992,-9.4469,53.29,63,96,8.99
246,Rocha,UY,2022-04-06 01:45:48,-34.4833,-54.3333,53.22,64,0,7.14
247,Nsanje,MW,2022-04-06 01:45:48,-16.92,35.262,73.81,98,98,0.96
248,Broken Hill,AU,2022-04-06 01:45:48,-31.95,141.4333,73.11,38,40,12.66
249,Cururupu,BR,2022-04-06 01:45:49,-1.8283,-44.8683,74.03,98,99,1.88
250,Krasnoarmeysk,RU,2022-04-06 01:45:49,51.0239,45.6969,35.29,80,100,11.59
251,Tindwari,IN,2022-04-06 01:45:49,25.6167,80.5333,86.14,6,8,4.29
252,Erenhot,CN,2022-04-06 01:45:49,43.6475,111.9767,45.64,22,19,10.09
253,Abu Zabad,SD,2022-04-06 01:45:50,12.35,29.25,83.17,18,0,9.53
254,Kasur,PK,2022-04-06 01:45:50,31.1156,74.4467,73.51,11,0,3.4
255,Cruzeiro Do Sul,BR,2022-04-06 01:45:50,-29.5128,-51.9853,68.07,89,100,3.15
256,Znamenka,RU,2022-04-06 01:45:51,52.4167,41.4311,36.95,89,100,16.11
257,Darab,IR,2022-04-06 01:45:51,28.7519,54.5444,63.68,26,3,3.29
258,Geraldton,AU,2022-04-06 01:45:51,-28.7667,114.6,77.41,47,34,17.27
259,Cubara,CO,2022-04-06 01:45:52,7.0008,-72.1085,73.53,94,99,2.44
260,Novochernorechenskiy,RU,2022-04-06 01:45:52,56.2669,91.0828,42.39,80,100,8.34
261,Atikokan,CA,2022-04-06 01:45:53,48.7555,-91.6216,32.4,96,100,12.64
262,Viedma,AR,2022-04-06 01:45:53,-40.8135,-62.9967,69.24,40,98,13.85
263,Marawi,PH,2022-04-06 01:45:53,7.9986,124.2928,67.75,98,100,1.05
264,Kingston,JM,2022-04-06 01:45:35,17.997,-76.7936,79.75,76,20,19.57
265,Lucapa,AO,2022-04-06 01:45:53,-8.4192,20.7447,63.91,96,100,1.19
266,Mandera,KE,2022-04-06 01:45:54,3.9366,41.867,79.7,63,0,13.2
267,Chateaubelair,VC,2022-04-06 01:45:54,13.2833,-61.25,77.0,70,18,15.57
268,Padang,ID,2022-04-06 01:45:54,-0.9492,100.3543,80.65,68,82,3.04
269,Choix,MX,2022-04-06 01:45:55,26.7092,-108.3219,74.77,38,0,3.47
270,Ponot,PH,2022-04-06 01:45:55,8.452,123.0222,77.23,90,100,5.79
271,Notodden,NO,2022-04-06 01:46:55,59.5594,9.2585,30.96,76,100,3.06
272,Chalette-Sur-Loing,FR,2022-04-06 01:46:56,48.0134,2.7359,49.32,94,70,7.58
273,Ewa Beach,US,2022-04-06 01:46:56,21.3156,-158.0072,82.35,53,75,13.8
274,Bathsheba,BB,2022-04-06 01:42:32,13.2167,-59.5167,77.61,69,0,13.8
275,Verkhniye Kigi,RU,2022-04-06 01:46:56,55.4083,58.6044,28.04,88,83,8.84
276,Tuktoyaktuk,CA,2022-04-06 01:43:36,69.4541,-133.0374,-5.8,71,20,9.22
277,Makushino,RU,2022-04-06 01:46:57,55.2103,67.2442,31.96,78,15,12.77
278,Pakhtakoron,TJ,2022-04-06 01:46:57,40.1571,68.7466,70.34,23,40,15.68
279,Comodoro Rivadavia,AR,2022-04-06 01:45:00,-45.8667,-67.5,49.86,93,100,11.5
280,Mount Darwin,ZW,2022-04-06 01:46:57,-16.7725,31.5838,65.3,94,9,2.53
281,Hudson Bay,CA,2022-04-06 01:46:57,52.85,-102.3842,35.08,93,100,10.58
282,Clyde River,CA,2022-04-06 01:46:58,70.4692,-68.5914,-1.97,84,75,4.61
283,Gornopravdinsk,RU,2022-04-06 01:46:58,60.05,69.9,28.15,89,100,13.73
284,Tasiilaq,GL,2022-04-06 01:46:58,65.6145,-37.6368,15.96,89,41,6.91
285,Komsomolskiy,UZ,2022-04-06 01:44:49,40.4272,71.7189,59.72,41,17,9.22
286,Hualmay,PE,2022-04-06 01:44:55,-11.0964,-77.6139,68.85,86,43,8.08
287,Pavlohrad,UA,2022-04-06 01:46:59,48.5167,35.8667,41.49,87,100,15.21
288,Henties Bay,NA,2022-04-06 01:46:59,-22.116,14.2845,59.99,86,0,6.6
289,Presque Isle,US,2022-04-06 01:44:12,46.6811,-68.0159,34.23,47,0,0.0
290,Jardim,BR,2022-04-06 01:46:59,-21.4803,-56.1381,78.93,65,95,2.42
291,Changli,CN,2022-04-06 01:47:00,39.7042,119.1506,44.92,22,100,14.07
292,Rumford,US,2022-04-06 01:42:23,44.5537,-70.5509,43.92,49,7,3.15
293,Lasa,IT,2022-04-06 01:46:01,46.6166,10.7002,45.48,78,37,1.72
294,Nizhniy Kuranakh,RU,2022-04-06 01:47:00,58.8353,125.4869,14.86,80,100,9.98
