City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Caiaponia,BR,79.61,scattered clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
455,Ambilobe,MG,81.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
460,Lata,PT,76.5,broken clouds,40.1629,-8.3327,Casa Maquia
461,Tiznit,MA,81.79,broken clouds,29.5833,-9.5,
464,Mbini,GQ,82.26,broken clouds,1.574,9.6134,
468,Tura,IN,77.0,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
469,Barreirinhas,BR,85.89,moderate rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
472,Macia,MZ,85.42,scattered clouds,-25.0269,33.0989,Hotel Taskin Macia
475,Ardakan,IR,75.81,overcast clouds,32.31,54.0175,Ardakan Hotel
477,Lucapa,AO,77.22,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
478,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
484,Uravakonda,IN,85.87,broken clouds,14.95,77.2667,Divya Lodge
488,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
490,Impfondo,CG,84.92,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
492,La Asuncion,VE,80.44,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
493,Capelinha,BR,78.4,few clouds,-17.6914,-42.5158,Marinho Plaza Hotel
508,Muncar,ID,78.6,overcast clouds,-8.4333,114.3333,Zaky Homestay
513,Kokopo,PG,77.32,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
519,Casablanca,MA,79.02,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
520,Matadi,CD,76.68,moderate rain,-5.8167,13.45,Hotel Vivi Palace
522,Omboue,GA,78.85,moderate rain,-1.5746,9.2618,Hotel Olako
530,Wanning,CN,76.03,clear sky,18.8003,110.3967,Paradise Hotel
534,Nova Olinda Do Norte,BR,86.49,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
536,Barreirinha,BR,81.54,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
547,Tautira,PF,80.67,few clouds,-17.7333,-149.15,Pension Oaoa
550,Namatanai,PG,79.75,light rain,-3.6667,152.4333,Seagulls Inn Namatani
558,Weligama,LK,80.83,clear sky,5.9667,80.4167,Weligama Bay Resort
559,Veraval,IN,80.94,clear sky,20.9,70.3667,Lords Inn Somnath
561,Sola,VU,75.87,few clouds,-13.8833,167.55,Leumerus Bungalows
563,Marsh Harbour,BS,75.42,light rain,26.5412,-77.0636,Abaco Beach Resort
571,Santo Domingo,DO,83.93,broken clouds,18.5001,-69.9886,Cabañas City Heart
572,Axim,GH,84.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
574,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
577,Mbandaka,CD,82.17,light rain,0.0487,18.2603,Guest House Epervier
578,Ranong,TH,80.02,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
579,Saint Simons,US,79.02,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
581,San Policarpo,PH,78.85,scattered clouds,12.1791,125.5072,Agapita M. Nicart
584,Bereda,ES,77.41,clear sky,43.2686,-7.5406,Pazo de Verdes
